"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-036","Read/Dunning","2017","$11,681,045","$2,561,525","$49,119,201","$227,248","$1,343,472","$0","$0","$0","$7,035,000","$0","$0","$0","$1,811,000","$0","$0","$0","$1,170,385","$7,000,000","$0","$8,170,385","$-5,380,957","$6,300,088",,"$0","$0","Restricted for future redevelopment project costs","$6,300,088","$0"
"T-037","River South","2017","$48,195,486","$25,855,083","$203,583,599","$660,538","$7,246,565","$0","$2,629,408","$0","$0","$0","$0","$0","$51,373,006","$0","$0","$0","$26,595,715","$0","$4,310,000","$30,905,715","$-4,390,094","$43,805,392",,"$0","$0","Restricted for future redevelopment project costs","$43,805,392","$0"
"T-038","Roosevelt/Cicero Industrial Corridor","2017","$10,930,162","$2,455,219","$32,854,779","$157,141","$521,045","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$389,000","$848,000","$1,288,000","$2,525,000","$87,360","$11,017,522",,"$0","$0","Restricted for future redevelopment project costs","$10,380,722","$636,800"
"T-042","Sanitary and Ship Canal","2017","$1,007,571","$574,606","$15,167,334","$9,308","$228,137","$0","$0","$0","$5,530,000","$0","$0","$0","$0","$0","$0","$0","$13,976","$0","$0","$13,976","$569,938","$1,577,509",,"$0","$0","Restricted for future redevelopment project costs","$1,577,509","$0"
"T-043","Stockyards Annex","2017","$6,028,613","$1,229,762","$24,703,658","$92,547","$684,186","$0","$0","$0","$0","$0","$0","$0","$525,000","$0","$0","$0","$476,961","$608,000","$0","$1,084,961","$241,220","$6,269,833",,"$0","$0","Restricted for future redevelopment project costs","$5,221,933","$1,047,900"
"T-045","Stockyards Southeast Quadrant Industrial","2017","$4,953,358","$1,423,433","$38,492,030","$67,984","$1,293,025","$0","$0","$0","$30,400,000","$0","$0","$0","$3,675,608","$0","$0","$0","$91,648","$1,147,000","$0","$1,238,648","$252,769","$5,206,127",,"$0","$0","Restricted for future redevelopment project costs","$3,969,227","$1,236,900"
"T-048","Western/Ogden","2017","$32,173,968","$6,651,437","$93,185,720","$442,494","$1,079,131","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$4,179,947","$1,349,000","$2,250,000","$7,778,947","$-685,016","$31,488,952",,"$0","$0","Restricted for future redevelopment project costs","$25,029,452","$6,459,500"
"T-052","Kinzie Industrial Corridor","2017","$77,619,700","$30,108,683","$276,662,467","$1,025,496","$4,012,560","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$7,531,743","$0","$3,910,826","$11,442,569","$19,691,610","$97,311,310",,"$0","$0","Restricted for future redevelopment project costs","$97,311,310","$0"
"T-053","Pilsen Industrial Corridor","2017","$39,071,984","$12,643,045","$146,276,945","$438,134","$8,269,303","$0","$983,239","$0","$84,922,130","$0","$0","$0","$0","$0","$0","$0","$8,778,911","$1,209,000","$0","$9,987,911","$3,093,268","$42,165,252","Restricted for debt service","$33,410,000","$10,388,431","Restricted for future redevelopment project costs","$31,776,821","$0"
"T-054","Stony Island Commercial/Burnside Industrial","2017","$6,617,295","$3,116,385","$38,046,249","$107,281","$555,927","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$0","$0","$558,762","$0","$1,823,236","$2,381,998","$865,418","$7,482,713",,"$0","$0","Restricted for future redevelopment project costs","$7,482,713","$0"
"T-055","43rd/Cottage Grove","2017","$13,821,518","$2,822,428","$33,304,287","$204,241","$507,469","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$3,376,248","$172,300","$0","$3,548,548","$-521,879","$13,299,639",,"$0","$0","Restricted for future redevelopment project costs","$12,687,439","$612,200"
"T-056","79th Street Corridor","2017","$5,724,725","$752,624","$11,245,686","$81,758","$229,758","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$178,389","$49,000","$0","$227,389","$606,993","$6,331,718",,"$0","$0","Restricted for future redevelopment project costs","$6,258,918","$72,800"
"T-057","Jefferson Park","2017","$4,851,615","$946,829","$11,739,661","$69,737","$209,302","$0","$0","$0","$0","$0","$790,000","$0","$853,000","$0","$0","$0","$312,314","$45,900","$0","$358,214","$658,352","$5,509,967",,"$0","$0","Restricted for future redevelopment project costs","$5,428,067","$81,900"
"T-058","Portage Park","2017","$12,887,412","$1,934,568","$34,645,008","$244,667","$737,456","$0","$0","$0","$0","$0","$1,415,000","$0","$0","$0","$0","$0","$3,316,017","$114,000","$1,900,000","$5,330,017","$-3,150,782","$9,736,630",,"$0","$0","Restricted for future redevelopment project costs","$9,571,930","$164,700"
"T-059","Calumet/Cermak","2017","$19,878,725","$6,493,485","$144,499,053","$224,664","$2,390,700","$0","$0","$0","$0","$0","$0","$0","$28,000,000","$0","$0","$0","$208,083","$16,000,000","$0","$16,208,083","$-9,448,317","$10,430,408",,"$0","$0","Restricted for future redevelopment project costs","$730,408","$9,700,000"
"T-060","71st/Stony Island","2017","$15,343,929","$2,438,760","$42,188,120","$332,812","$7,433,677","$0","$301","$0","$64,765,895","$0","$0","$5,566,982","$51,722,755","$0","$0","$0","$8,104,646","$0","$0","$8,104,646","$233,908","$15,577,837","Restricted for debt service","$60,595,000","$8,277,413","Restricted for future redevelopment project costs","$7,300,424","$0"
"T-061","Bronzeville","2017","$14,050,241","$3,095,966","$51,866,293","$190,015","$1,077,381","$0","$0","$0","$0","$0","$1,000,000","$2,500,000","$5,000,000","$0","$0","$0","$504,907","$226,100","$0","$731,007","$5,054,974","$19,105,215",,"$0","$0","Restricted for future redevelopment project costs","$18,605,215","$500,000"
"T-062","Roosevelt/Racine","2017","$5,624,280","$1,704,001","$17,742,163","$73,316","$161,597","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$930,526","$114,600","$0","$1,045,126","$732,191","$6,356,471",,"$0","$0","Restricted for future redevelopment project costs","$6,356,471","$0"
"T-063","Canal/Congress","2017","$68,714,936","$28,783,334","$272,363,238","$902,822","$2,780,191","$0","$0","$0","$0","$0","$0","$0","$1,091,731","$0","$0","$0","$3,567,644","$25,000,000","$0","$28,567,644","$1,118,512","$69,833,448",,"$0","$0","Restricted for future redevelopment project costs","$59,833,448","$10,000,000"
"T-064","Northwest Industrial Corridor","2017","$20,140,958","$6,443,947","$86,778,375","$308,892","$1,248,615","$0","$0","$0","$0","$0","$0","$793","$521,583","$0","$0","$0","$1,017,639","$0","$3,979,464","$4,997,103","$1,756,529","$21,897,487",,"$0","$0","Restricted for future redevelopment project costs","$21,897,487","$0"
