"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-092","Greater Southwest Industrial (West)","2018","$3,924,386","$354,022","$12,722,393","$4,637","$402,959","$0","$0","$0","$0","$0","$0","$976,540","$976,540","$76,096","$0","$0","$94,314","$10,800","$0","$105,114","$1,230,085","$5,154,471",,"$0","$0","Restricted for future redevelopment project costs","$4,980,471","$174,000"
"T-093","South Chicago","2018","$6,928,209","$1,535,490","$17,322,957","$29,603","$317,231","$0","$0","$0","$0","$0","$0","$0","$0","$1,200,000","$0","$0","$1,063,300","$229,500","$0","$1,292,800","$272,293","$7,200,502",,"$0","$0","Restricted for future redevelopment project costs","$7,200,502","$0"
"T-094","Chicago/Kingsbury","2018","$39,812,669","$34,034,914","$244,752,947","$-139,691","$2,070,248","$0","$0","$0","$0","$0","$0","$0","$0","$15,265","$0","$0","$5,795,267","$10,000,000","$0","$15,795,267","$18,099,956","$57,917,125",,"$0","$0","Restricted for future redevelopment project costs","$15,874,125","$42,043,000"
"T-095","Midwest","2018","$42,340,635","$18,834,683","$195,300,861","$517,265","$5,788,653","$0","$0","$0","$30,373,738","$0","$0","$8,500,000","$12,254,510","$4,924,000","$0","$0","$22,260,083","$0","$14,086,378","$36,346,461","$-8,494,513","$33,846,122",,"$28,830,000","$0","Restricted for future redevelopment project costs","$33,846,122","$0"
"T-096","Cicero/Archer","2018","$4,509,463","$827,681","$11,197,947","$20,547","$294,532","$0","$0","$0","$0","$0","$0","$0","$0","$1,626","$0","$0","$694,829","$55,200","$0","$750,029","$98,199","$4,607,662",,"$0","$0","Restricted for future redevelopment project costs","$4,607,662","$0"
"T-097","51st/Archer","2018","$6,832,932","$785,968","$9,367,592","$134,714","$3,211,420","$0","$0","$0","$40,099,669","$0","$0","$13,954,017","$45,607,888","$280,650","$0","$0","$18,580,306","$0","$0","$18,580,306","$-3,661,628","$3,171,304",,"$29,090,000","$1,066,745","Restricted for future redevelopment project costs","$2,104,559","$0"
"T-098","63rd/Pulaski","2018","$3,976,311","$2,201,497","$29,541,098","$45,810","$450,357","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$167,431","$0","$2,612,731","$2,780,162","$-532,855","$3,443,456",,"$0","$0","Restricted for future redevelopment project costs","$3,443,456","$0"
"T-099","Archer/Central","2018","$1,381,945","$518,610","$9,217,233","$3,358","$158,020","$0","$0","$0","$0","$0","$0","$0","$240,000","$0","$0","$0","$311,894","$27,300","$0","$339,194","$182,774","$1,564,719",,"$0","$0","Restricted for future redevelopment project costs","$1,564,719","$0"
"T-100","Ohio/Wabash","2018","$1,818,379","$1,988,062","$22,292,120","$-3,395","$102,501","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,829,557","$0","$0","$1,829,557","$155,110","$1,973,489",,"$0","$0","Restricted for future redevelopment project costs","$1,973,489","$0"
"T-101","Jefferson/Roosevelt","2018","$6,589,306","$7,908,634","$68,644,895","$-29,221","$668,840","$0","$0","$0","$0","$0","$0","$0","$12,500,000","$0","$0","$0","$593,760","$5,000,000","$0","$5,593,760","$2,285,653","$8,874,959",,"$0","$0","Restricted for future redevelopment project costs","$3,511,959","$5,363,000"
"T-102","Montclare","2018","$611,081","$344,426","$4,836,908","$1,725","$30,729","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$207,496","$24,300","$0","$231,796","$114,355","$725,436",,"$0","$0","Restricted for future redevelopment project costs","$725,436","$0"
"T-103","Lake Calumet Area Industrial","2018","$9,867,998","$4,155,705","$44,323,977","$6,964","$513,338","$0","$0","$0","$0","$0","$0","$0","$4,284,000","$23,684","$0","$0","$1,491,911","$0","$0","$1,491,911","$2,670,758","$12,538,756",,"$0","$0","Restricted for future redevelopment project costs","$12,538,756","$0"
"T-104","River West","2018","$62,657,054","$22,699,022","$182,087,909","$209,370","$2,622,442","$0","$1,825,083","$0","$0","$0","$0","$0","$0","$10,940","$0","$0","$2,320,848","$20,000,000","$0","$22,320,848","$587,544","$63,244,598",,"$0","$0","Restricted for future redevelopment project costs","$30,019,598","$33,225,000"
"T-105","53rd Street","2018","$5,827,922","$5,556,590","$24,839,463","$-7,657","$183,596","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$3,773,382","$0","$0","$3,773,382","$1,775,551","$7,603,473",,"$0","$0","Restricted for future redevelopment project costs","$7,603,473","$0"
"T-106","Englewood Neighborhood","2018","$21,738,931","$4,499,023","$61,563,376","$80,201","$1,039,379","$0","$0","$0","$0","$0","$0","$0","$0","$750,000","$0","$0","$2,634,888","$500,200","$0","$3,135,088","$1,463,155","$23,202,086",,"$0","$0","Restricted for future redevelopment project costs","$23,202,086","$0"
"T-107","Division/Homan","2018","$5,704,313","$1,417,901","$16,536,987","$12,635","$329,366","$0","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$772,798","$102,700","$0","$875,498","$555,038","$6,259,351",,"$0","$0","Restricted for future redevelopment project costs","$6,063,351","$196,000"
"T-108","Humboldt Park Commercial","2018","$11,009,827","$4,206,656","$40,338,245","$54,262","$509,700","$0","$0","$0","$0","$0","$0","$0","$0","$1,191,271","$0","$0","$2,873,242","$1,267,300","$0","$4,140,542","$120,376","$11,130,203",,"$0","$0","Restricted for future redevelopment project costs","$10,745,203","$385,000"
"T-109","Lawrence/Broadway","2018","$11,091,208","$4,401,829","$46,663,546","$15,398","$530,879","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,240,732","$0","$575,824","$1,816,556","$2,600,671","$13,691,879",,"$0","$0","Restricted for future redevelopment project costs","$13,691,879","$0"
"T-110","Wilson Yard","2018","$14,658,938","$9,384,917","$97,408,147","$23,411","$856,360","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,560,704","$0","$0","$6,560,704","$2,847,624","$17,506,562",,"$0","$0","Restricted for future redevelopment project costs","$17,506,562","$0"
"T-111","105th/Vincennes","2018","$2,196,176","$1,038,646","$5,989,028","$9,745","$35,340","$0","$0","$0","$0","$0","$0","$706,761","$2,320,284","$0","$0","$0","$1,426,644","$0","$0","$1,426,644","$328,508","$2,524,684",,"$0","$0","Restricted for future redevelopment project costs","$2,524,684","$0"
"T-112","79th/Southwest Highway","2018","$6,940,243","$1,756,655","$18,294,215","$35,025","$348,268","$0","$0","$0","$0","$0","$0","$0","$0","$1,523","$0","$0","$274,514","$2,172,800","$0","$2,447,314","$-655,634","$6,284,609",,"$0","$0","Restricted for future redevelopment project costs","$5,806,609","$478,000"
"T-113","Roseland/Michigan","2018","$1,306,060","$608,518","$7,173,481","$14,647","$97,407","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$32,564","$0","$946,978","$979,542","$-356,377","$949,683",,"$0","$0","Restricted for future redevelopment project costs","$949,683","$0"
"T-114","119th/Halsted","2018","$3,540,098","$1,335,553","$10,579,283","$7,165","$162,588","$0","$0","$0","$0","$0","$0","$0","$97,500","$873,905","$0","$0","$173,525","$210,500","$0","$384,025","$958,693","$4,498,791",,"$0","$0","Restricted for future redevelopment project costs","$4,498,791","$0"
"T-115","Chicago/Central Park","2018","$35,431,819","$7,013,275","$76,103,908","$572,342","$4,758,781","$0","$0","$0","$129,651,674","$0","$0","$18,026,466","$101,283,414","$3,168,157","$0","$0","$33,646,395","$0","$0","$33,646,395","$-7,655,367","$27,776,452",,"$70,125,000","$4,957,730","Restricted for future redevelopment project costs","$22,818,722","$0"
"T-116","Lawrence/Pulaski","2018","$5,507,389","$1,702,042","$18,756,609","$4,104","$334,586","$0","$0","$0","$0","$0","$0","$0","$2,900,000","$0","$0","$0","$226,233","$0","$0","$226,233","$1,479,913","$6,987,302",,"$0","$0","Restricted for future redevelopment project costs","$6,695,302","$292,000"
"T-117","47th/Ashland","2018","$9,831,695","$2,881,107","$34,524,337","$65,943","$929,058","$0","$0","$0","$19,970,981","$0","$0","$0","$2,431,313","$886,381","$0","$0","$2,402,541","$0","$0","$2,402,541","$683,412","$10,515,107",,"$18,675,000","$1,708,002","Restricted for future redevelopment project costs","$8,807,105","$0"
"T-118","47th/King Drive","2018","$21,817,862","$7,896,419","$93,260,588","$94,136","$1,417,465","$0","$0","$0","$0","$0","$0","$0","$0","$1,112","$0","$0","$3,959,835","$4,108,300","$400,000","$8,468,135","$-477,580","$21,340,282",,"$0","$0","Restricted for future redevelopment project costs","$21,340,282","$0"
"T-119","Lakefront","2018","$1,021,128","$413,483","$3,536,308","$285","$25,163","$0","$0","$0","$0","$0","$0","$0","$0","$1,025","$0","$0","$201,987","$0","$0","$201,987","$211,781","$1,232,909",,"$0","$0","Restricted for future redevelopment project costs","$1,232,909","$0"
"T-121","47th/Halsted","2018","$12,601,035","$3,257,158","$38,774,952","$76,326","$701,594","$0","$0","$0","$0","$0","$0","$0","$3,950,064","$150","$0","$0","$1,510,235","$400,000","$1,587,500","$3,497,735","$-164,251","$12,436,784",,"$0","$0","Restricted for future redevelopment project costs","$12,436,784","$0"
"T-122","Drexel Boulevard","2018","$497,602","$307,955","$3,955,802","$-3,522","$8,081","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$443,793","$358,242","$0","$443,793","$-139,360","$0",,"$0","$0",,"$0","$0"
"T-123","Avalon Park/South Shore","2018","$2,351,478","$498,862","$7,889,091","$6,140","$128,813","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$117,868","$0","$0","$117,868","$387,134","$2,738,612",,"$0","$0","Restricted for future redevelopment project costs","$2,738,612","$0"
"T-124","67th/Cicero","2018","$1,680,684","$286,665","$3,515,836","$18,654","$61,351","$0","$0","$0","$0","$0","$0","$0","$3,284,023","$0","$0","$0","$192,213","$21,300","$976,540","$1,190,053","$-863,434","$817,250",,"$0","$0","Restricted for future redevelopment project costs","$817,250","$0"
"T-125","119th/I-57","2018","$8,425,238","$3,349,436","$28,955,082","$45,114","$242,274","$0","$0","$0","$0","$0","$0","$0","$950,000","$1,000,000","$0","$0","$2,309,480","$1,057,800","$1,037,876","$4,405,156","$-1,008,809","$7,416,429",,"$0","$0","Restricted for future redevelopment project costs","$7,416,429","$0"
"T-126","Madden/Wells","2018","$4,871,528","$1,359,250","$11,498,816","$88,882","$187,435","$0","$0","$0","$0","$0","$0","$0","$1,051,820","$0","$0","$0","$3,527,718","$0","$0","$3,527,718","$-2,079,586","$2,791,942",,"$0","$0","Restricted for future redevelopment project costs","$2,791,942","$0"
"T-127","87th/Cottage Grove","2018","$2,319,041","$1,892,689","$26,163,839","$34,791","$394,526","$0","$0","$0","$0","$0","$0","$0","$625,000","$0","$0","$0","$603,793","$0","$1,892,221","$2,496,014","$-568,534","$1,750,507",,"$0","$0","Restricted for future redevelopment project costs","$1,750,507","$0"
"T-128","Commercial Avenue","2018","$7,624,392","$1,448,315","$19,486,942","$15,450","$421,315","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$230,921","$83,900","$0","$314,821","$1,148,944","$8,773,336",,"$0","$0","Restricted for future redevelopment project costs","$8,773,336","$0"
"T-129","Diversey/Narragansett","2018","$3,669,119","$3,061,965","$27,459,987","$2,859","$146,954","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,643,636","$619,500","$0","$2,263,136","$801,688","$4,470,807",,"$0","$0","Restricted for future redevelopment project costs","$4,229,807","$241,000"
"T-130","Edgewater/Ashland","2018","$3,982,261","$524,766","$7,296,198","$7,467","$244,404","$0","$0","$0","$0","$0","$0","$1,400,000","$1,400,000","$0","$0","$0","$810,600","$0","$0","$810,600","$1,121,633","$5,103,894",,"$0","$0","Restricted for future redevelopment project costs","$5,103,894","$0"
"T-131","35th/State","2018","$2,217,603","$2,124,744","$17,837,367","$9,082","$99,277","$0","$0","$0","$0","$0","$0","$0","$3,500,000","$41,491","$0","$0","$1,912,455","$60,000","$0","$1,972,455","$161,371","$2,378,974",,"$0","$0","Restricted for future redevelopment project costs","$2,378,974","$0"
"T-133","83rd/Stewart","2018","$1,371,574","$1,376,141","$8,319,105","$808","$17,822","$0","$0","$0","$0","$0","$0","$0","$0","$64,052","$0","$0","$1,268,014","$0","$0","$1,268,014","$108,935","$1,480,509",,"$0","$0","Restricted for future redevelopment project costs","$1,480,509","$0"
"T-134","Devon/Sheridan","2018","$3,853,079","$1,818,149","$6,474,696","$-12,074","$119,782","$0","$0","$0","$0","$0","$0","$0","$3,136,000","$500,000","$0","$0","$25,607","$0","$0","$25,607","$1,780,468","$5,633,547",,"$0","$0","Restricted for future redevelopment project costs","$5,633,547","$0"
"T-135","Pratt/Ridge Industrial Park Conservation Area","2018","$1,374,118","$688,699","$3,011,900","$-45","$21,802","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$9,290","$0","$0","$9,290","$679,364","$2,053,482",,"$0","$0","Restricted for future redevelopment project costs","$2,053,482","$0"
"T-136","47th/State","2018","$12,410,914","$1,591,896","$18,615,380","$70,336","$380,592","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$115,444","$3,347,400","$0","$3,462,844","$-1,800,612","$10,610,302",,"$0","$0","Restricted for future redevelopment project costs","$10,610,302","$0"
"T-139","Ravenswood Corridor","2018","$1,819,872","$1,815,608","$11,917,690","$5,606","$176,812","$0","$0","$0","$0","$0","$0","$0","$500,000","$2,978","$0","$0","$359,279","$2,781,807","$500,000","$1,229,879","$591,335","$0",,"$0","$0",,"$0","$0"
"T-140","79th/Cicero","2018","$671,922","$605,606","$5,203,264","$51","$13,597","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$492,366","$41,900","$0","$534,266","$71,391","$743,313",,"$0","$0","Restricted for future redevelopment project costs","$743,313","$0"
"T-141","26th/King Drive","2018","$1,381,160","$806,341","$7,402,785","$506","$26,014","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$742,264","$0","$0","$742,264","$64,583","$1,445,743",,"$0","$0","Restricted for future redevelopment project costs","$1,445,743","$0"
"T-142","Western/Rock Island","2018","$1,021,852","$1,219,200","$13,074,435","$-5,683","$115,854","$0","$0","$0","$0","$0","$0","$1,831,115","$5,031,115","$0","$0","$0","$2,317,530","$0","$0","$2,317,530","$727,102","$1,748,954",,"$0","$0","Restricted for future redevelopment project costs","$1,748,954","$0"
"T-143","63rd/Ashland","2018","$4,852,058","$1,188,764","$8,130,370","$30,686","$128,618","$0","$0","$0","$0","$0","$0","$0","$4,100,000","$5,452","$0","$0","$1,567,774","$0","$0","$1,567,774","$-348,324","$4,503,734",,"$0","$0","Restricted for future redevelopment project costs","$4,503,734","$0"
"T-144","Harrison/Central","2018","$1,266,286","$254,477","$4,598,166","$5,994","$53,623","$0","$0","$0","$0","$0","$0","$0","$7,348,645","$1,000,000","$0","$0","$294,549","$0","$0","$294,549","$-34,078","$1,232,208",,"$0","$0","Restricted for future redevelopment project costs","$1,232,208","$0"
"T-145","73rd/University","2018","$1,272,146","$432,603","$4,620,889","$451","$57,417","$0","$0","$0","$0","$0","$0","$0","$0","$2,815","$0","$0","$8,414","$33,000","$0","$41,414","$391,640","$1,663,786",,"$0","$0","Restricted for future redevelopment project costs","$1,663,786","$0"
"T-146","Touhy/Western","2018","$3,740,348","$361,450","$4,523,915","$47,604","$814,191","$0","$0","$0","$25,769,247","$0","$0","$1,968,193","$18,006,344","$717,428","$0","$0","$2,453,260","$0","$0","$2,453,260","$36,414","$3,776,762",,"$7,040,000","$2,482,233","Restricted for future redevelopment project costs","$1,294,529","$0"
"T-147","LaSalle Central","2018","$49,982,793","$69,007,881","$273,466,310","$-161,020","$1,311,875","$0","$0","$0","$0","$0","$0","$0","$8,600,000","$236","$0","$0","$11,880,023","$15,000,000","$7,300,000","$34,180,023","$34,784,020","$84,770,867",,"$0","$0","Restricted for future redevelopment project costs","$38,327,867","$46,443,000"
"T-148","Harlem Industrial Park Conservation Area","2018","$418,731","$0","$971,268","$2,164","$17,961","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$13,989","$0","$0","$13,989","$-11,825","$406,906",,"$0","$0","Restricted for future redevelopment project costs","$406,906","$0"
"T-149","Stevenson Brighton","2018","$1,841,312","$3,858,324","$12,424,343","$-16,679","$125,271","$0","$0","$0","$0","$0","$0","$300,000","$2,300,000","$0","$0","$0","$2,227,136","$0","$0","$2,227,136","$1,914,509","$3,755,821",,"$0","$0","Restricted for future redevelopment project costs","$3,755,821","$0"
"T-150","Addison South","2018","$11,226,574","$4,441,304","$28,692,358","$9,733","$316,809","$0","$0","$0","$0","$0","$0","$0","$0","$4,331","$0","$0","$886,009","$1,549,300","$0","$2,435,309","$2,015,728","$13,242,302",,"$0","$0","Restricted for future redevelopment project costs","$12,705,302","$537,000"
"T-151","Armitage/Pulaski","2018","$907,630","$204,325","$1,962,010","$5,435","$36,783","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$279,652","$0","$0","$279,652","$-69,892","$837,738",,"$0","$0","Restricted for future redevelopment project costs","$837,738","$0"
"T-152","Little Village Industrial Corridor","2018","$1,246,704","$99","$2,079,529","$8,825","$52,642","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$169,056","$0","$0","$169,056","$-160,132","$1,086,572",,"$0","$0","Restricted for future redevelopment project costs","$1,086,572","$0"
"T-153","Elston/Armstrong Industrial Corridor","2018","$971,841","$596,074","$3,744,560","$-2,534","$30,845","$0","$0","$0","$0","$0","$0","$0","$0","$18,864","$0","$0","$20,055","$32,500","$0","$52,555","$540,985","$1,512,826",,"$0","$0","Restricted for future redevelopment project costs","$1,512,826","$0"
"T-154","Pershing/King","2018","$167,414","$0","$445,664","$836","$10,694","$0","$0","$0","$0","$0","$0","$0","$7,025,826","$0","$0","$0","$2,812","$0","$0","$2,812","$-1,976","$165,438",,"$0","$0","Restricted for future redevelopment project costs","$165,438","$0"
"T-155","79th/Vincennes","2018","$1,787,729","$176,688","$2,854,417","$5,608","$63,393","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$5,189","$0","$0","$5,189","$177,107","$1,964,836",,"$0","$0","Restricted for future redevelopment project costs","$1,964,836","$0"
"T-156","Austin Commercial","2018","$4,496,945","$1,093,192","$10,330,821","$15,541","$134,180","$0","$0","$0","$0","$0","$0","$0","$235,000","$0","$0","$0","$589,979","$0","$0","$589,979","$518,754","$5,015,699",,"$0","$0","Restricted for future redevelopment project costs","$4,874,699","$141,000"
"T-157","Hollywood/Sheridan","2018","$1,118,591","$64,919","$2,609,247","$8,874","$73,410","$0","$0","$0","$0","$0","$0","$575,824","$11,500,272","$0","$0","$0","$651,387","$0","$0","$651,387","$-1,770","$1,116,821",,"$0","$0","Restricted for future redevelopment project costs","$1,116,821","$0"
"T-158","Weed/Fremont","2018","$1,259,517","$431,528","$4,513,853","$-1,404","$8,797","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$747,325","$942,316","$0","$747,325","$-317,201","$0",,"$0","$0","Restricted for future redevelopment project costs","$942,316","$0"
"T-160","Kennedy/Kimball","2018","$390,884","$353,494","$1,318,377","$-2,836","$11,135","$0","$0","$0","$0","$0","$0","$0","$0","$72,767","$0","$0","$7,677","$0","$0","$7,677","$342,981","$733,865",,"$0","$0","Restricted for future redevelopment project costs","$733,865","$0"
"T-161","Ogden/Pulaski","2018","$4,127,976","$19,177","$7,661,471","$42,167","$172,615","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$1,290,277","$0","$0","$1,290,277","$-1,228,933","$2,899,043",,"$0","$0","Restricted for future redevelopment project costs","$2,899,043","$0"
"T-163","Archer/Western","2018","$700,652","$28,921","$1,189,030","$4,213","$25,341","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$110,756","$0","$0","$110,756","$-77,622","$623,030",,"$0","$0","Restricted for future redevelopment project costs","$623,030","$0"
"T-164","Little Village East","2018","$361,738","$-368","$464,610","$1,904","$13,201","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$3,408","$0","$0","$3,408","$-1,872","$359,866",,"$0","$0","Restricted for future redevelopment project costs","$359,866","$0"
"T-165","Irving Park/Elston","2018","$458,821","$-1,287","$933,801","$2,300","$18,403","$0","$0","$0","$0","$0","$0","$0","$0","$27,702","$0","$0","$5,212","$0","$0","$5,212","$-4,199","$454,622",,"$0","$0","Restricted for future redevelopment project costs","$454,622","$0"
"T-166","North Pullman","2018","$1,770,487","$1,237,566","$5,358,781","$-14,318","$20,837","$0","$0","$0","$0","$0","$0","$946,978","$16,680,164","$0","$0","$0","$1,101,473","$0","$0","$1,101,473","$1,068,753","$2,839,240",,"$0","$0","Restricted for future redevelopment project costs","$2,839,240","$0"
"T-167","Avondale","2018","$2,409,110","$66,858","$583,738","$46,404","$47,993","$0","$0","$0","$0","$0","$0","$0","$2,900,000","$0","$0","$0","$1,224,775","$0","$0","$1,224,775","$-1,111,513","$1,297,597",,"$0","$0","Restricted for future redevelopment project costs","$1,297,597","$0"
"T-169","Ewing Avenue","2018","$256,994","$275,802","$1,789,142","$-1,671","$32,626","$0","$0","$0","$0","$0","$0","$0","$6,508,056","$0","$0","$0","$6,458","$0","$0","$6,458","$267,673","$533,133",,"$0","$0","Restricted for future redevelopment project costs","$533,133","$0"
"T-171","West Woodlawn","2018","$301,671","$-911","$96,451","$1,968","$19,210","$0","$0","$0","$0","$0","$0","$0","$1,500,000","$0","$0","$0","$16,470","$0","$0","$16,470","$-15,413","$286,258",,"$0","$0","Restricted for future redevelopment project costs","$286,258","$0"
"T-172","Randolph/Wells","2018","$705,098","$394,105","$2,130,674","$2,751","$17,660","$0","$0","$0","$0","$0","$0","$0","$29,632,000","$205,770","$0","$0","$468,901","$0","$0","$468,901","$-72,045","$633,053",,"$0","$0","Restricted for future redevelopment project costs","$633,053","$0"
"T-173","Montrose/Clarendon","2018","$804,222","$266,331","$1,086,448","$-148","$8,136","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,994","$0","$0","$6,994","$259,189","$1,063,411",,"$0","$0","Restricted for future redevelopment project costs","$1,063,411","$0"
"T-174","67th/Wentworth","2018","$624,731","$0","$0","$4,780","$4,511","$0","$0","$0","$0","$0","$0","$0","$625,000","$0","$0","$0","$124,635","$0","$0","$124,635","$-119,855","$504,876",,"$0","$0","Restricted for future redevelopment project costs","$504,876","$0"
"T-175","51st/Lake Park","2018","$187,824","$1,868,886","$2,063,038","$-18,670","$-20,469","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$206,533","$0","$0","$206,533","$1,643,683","$1,831,507",,"$0","$0","Restricted for future redevelopment project costs","$1,831,507","$0"
"T-176","107th/Halsted","2018","$2,081,558","$587,691","$1,736,732","$6,415","$3,153","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$167,314","$0","$0","$167,314","$426,792","$2,508,350",,"$0","$0","Restricted for future redevelopment project costs","$2,508,350","$0"
"T-177","Foster/California","2018","$23,200","$335,096","$359,325","$-6,274","$224","$0","$0","$0","$0","$0","$0","$366,666","$5,278,162","$0","$0","$0","$377,039","$0","$0","$377,039","$318,449","$341,649",,"$0","$0","Restricted for future redevelopment project costs","$341,649","$0"
"T-178","Washington Park","2018","$805,093","$928,492","$1,454,666","$-47,370","$-51,134","$0","$0","$0","$0","$0","$0","$1,587,500","$1,887,500","$0","$0","$0","$1,689,723","$0","$0","$1,689,723","$778,899","$1,583,992",,"$0","$0","Restricted for future redevelopment project costs","$1,583,992","$0"
"T-179","Diversey/Chicago River","2018","$345,375","$0","$0","$7,665","$3,040","$0","$0","$0","$0","$0","$0","$0","$350,000","$0","$0","$0","$331,165","$0","$0","$331,165","$-323,500","$21,875",,"$0","$0","Restricted for future redevelopment project costs","$21,875","$0"
"T-180","Red Purple Modernization Phase One (Transit TIF)","2018","$8,154,208","$16,694,184","$25,028,082","$-207,004","$-267,819","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$222,191","$0","$0","$222,191","$16,264,989","$24,419,197",,"$0","$0","Restricted for future redevelopment project costs","$24,419,197","$0"
"T-181","Foster/Edens","2018","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0",,"$0","$0"
"T-182","116th/Avenue O","2018","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0",,"$0","$0"
"T-184","Roosevelt/Clark","2019","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0",,"$0","$0"
"T-183","Cortland/Chicago River","2019","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0",,"$0","$0",,"$0","$0"
"T-072","24th/Michigan","2019","$15,544,540","$3,944,907","$21,956,417","$1,188,525","$1,827,035","$0","$0","$0","$0","$0","$0","$17,000,000","$153,861,677","$16,760","$0","$0","$538,021","$0","$0","$538,021","$21,595,411","$37,139,951",,"$0","$0","Restricted for future redevelopment project costs","$37,139,951","$0"
"T-141","26th/King Drive","2019","$1,445,743","$849,312","$8,252,097","$83,138","$109,152","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$13,796","$0","$0","$13,796","$918,654","$2,364,397",,"$0","$0","Restricted for future redevelopment project costs","$2,364,397","$0"
"T-079","35th/Wallace","2019","$6,770,170","$1,417,718","$10,770,377","$350,300","$527,998","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,854,410","$0","$0","$1,854,410","$-86,392","$6,683,778",,"$0","$0","Restricted for future redevelopment project costs","$6,683,778","$0"
"T-001","35th/Halsted","2019","$28,904,728","$9,723,133","$81,264,510","$1,544,935","$4,655,618","$0","$0","$0","$0","$0","$0","$0","$3,243,618","$0","$0","$0","$3,718,784","$0","$1,400,000","$5,118,784","$6,149,284","$35,054,012",,"$0","$0","Restricted for future redevelopment project costs","$35,054,012","$0"
"T-131","35th/State","2019","$2,378,974","$1,729,539","$19,566,906","$122,885","$222,162","$0","$0","$0","$0","$0","$0","$0","$3,500,000","$41,491","$0","$0","$1,709,832","$0","$0","$1,709,832","$142,592","$2,521,566",,"$0","$0","Restricted for future redevelopment project costs","$2,521,566","$0"
"T-055","43rd/Cottage Grove","2019","$14,273,179","$3,249,657","$40,334,114","$732,796","$1,284,374","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$4,359,436","$0","$0","$4,359,436","$-376,983","$13,896,196",,"$0","$0","Restricted for future redevelopment project costs","$13,896,196","$0"
"T-121","47th/Halsted","2019","$12,436,784","$3,227,214","$42,002,166","$638,419","$1,340,013","$0","$0","$0","$0","$0","$0","$0","$3,950,064","$150","$0","$0","$731,527","$0","$1,587,500","$2,319,027","$1,546,606","$13,983,390",,"$0","$0","Restricted for future redevelopment project costs","$12,897,390","$1,086,000"
"T-118","47th/King Drive","2019","$21,340,282","$8,884,846","$102,145,434","$1,147,657","$2,565,122","$0","$0","$0","$0","$0","$0","$0","$0","$1,112","$0","$0","$2,009,945","$0","$1,400,000","$3,409,945","$6,622,558","$27,962,840",,"$0","$0","Restricted for future redevelopment project costs","$27,962,840","$0"
